movie_id,year,rev_minus_cost
Atanarjuat,2002,1852801.0
The Bourne Identity,2002,154034224.0
Scooby-Doo,2002,191650703.0
Windtalkers,2002,-37371735.0
Lilo & Stitch,2002,65771527.0
Minority Report,2002,256372926.0
Mr. Deeds,2002,121269535.0
Lovely & Amazing,2001,3936931.0
Men in Black II,2002,301818803.0
The Powerpuff Girls Movie,2002,1411644.0
Reign of Fire,2002,-16938018.0
Road to Perdition,2002,101001478.0
Halloween: Resurrection,2002,24664855.0
K-19: The Widowmaker,2002,-64831034.0
Stuart Little 2,2002,49956806.0
Austin Powers in Goldmember,2002,233655431.0
The Kid Stays in the Picture,2002,1394436.0
幸福时光,2000,-1659907.0
Tadpole,2002,2741288.0
Signs,2002,336247917.0
Spy Kids 2: The Island of Lost Dreams,2002,81723358.0
The Good Girl,2002,8856124.0
Blood Work,2002,-23800483.0
xXx,2002,207448382.0
Martin Lawrence Live: Runteldat,2002,16184015.0
The Adventures of Pluto Nash,2002,-92896027.0
Blue Crush,2002,26842679.0
섬,2000,-28925.0
Possession,2002,-14886267.0
One Hour Photo,2002,40223306.0
Serving Sara,2002,-12069815.0
Undisputed,2002,-7601372.0
FearDotCom,2002,-21097985.0
City By The Sea,2002,-17566085.0
Swimfan,2002,25911240.0
Barbershop,2002,63781642.0
The Transporter,2002,22928932.0
Igby Goes Down,2002,-4222535.0
Ballistic: Ecks vs. Sever,2002,-50075967.0
The Four Feathers,2002,-5117355.0
Trapped,2002,-23083131.0
Secretary,2002,5304609.0
千と千尋の神隠し,2001,259925095.0
Sweet Home Alabama,2002,150622424.0
Moonlight Mile,2002,-10988950.0
Red Dragon,2002,131196298.0
Brown Sugar,2002,19362712.0
Knockaround Guys,2001,-3000000.0
Tuck Everlasting,2002,4158074.0
Bowling for Columbine,2002,31564473.0
Punch-Drunk Love,2002,-8000000.0
Swept Away,2002,-9401355.0
Abandon,2002,-14280643.0
The 51st State,2001,-14.0
The Ring,2002,201348933.0
Auto Focus,2002,-4937934.0
